tweet_id,favorite_count,retweet_count
835172783151792128,28552,6516
834931633769889797,11838,1878
834574053763584002,14993,2882
834458053273591808,10512,1899
834167344700198914,17194,4130
834086379323871233,14296,2512
833826103416520705,16728,3904
833722901757046785,22585,3636
833124694597443584,22133,5513
832769181346996225,0,43
832682457690300417,13017,3368
832636094638288896,17379,3220
832369877331693569,18792,3652
832215909146226688,0,7069
832088576586297345,72,3
832032802820481025,13887,4746
831926988323639298,369,39
831670449226514432,11469,2059
831552930092285952,9872,2632
831315979191906304,7117,1264
831262627380748289,13066,2350
830583320585068544,73397,19297
830097400375152640,10804,3455
829861396166877184,13441,2243
829449946868879360,11519,2329
829141528400556032,26952,8530
828801551087042563,0,3901
828708714936930305,40241,12882
828409743546925057,6898,1305
828381636999917570,13864,2554
828372645993398273,13756,3344
828046555563323392,12923,3260
827933404142436356,22180,5987
827600520311402496,8143,1082
827228250799742977,0,13517
826958653328592898,23767,5757
826615380357632002,0,4521
826598365270007810,11117,2709
826240494070030336,14614,2965
826115272272650244,17299,3599
825829644528148480,14025,2848
825147591692263424,20181,5244
825026590719483904,7020,1483
824775126675836928,16508,4069
824325613288833024,12999,11848
824025158776213504,5255,679
823719002937630720,0,12953
823581115634085888,14376,3031
823322678127919110,17437,4637
822975315408461824,19139,3958
822859134160621569,14576,2622
822610361945911296,16327,3423
822462944365645825,31800,17209
822163064745328640,0,5571
821813639212650496,0,3839
821522889702862852,8871,2030
821407182352777218,13075,5053
821149554670182400,9718,2320
821044531881721856,14021,2636
820749716845686786,34984,11525
820494788566847489,0,648
820314633777061888,3706,648
820013781606658049,0,1369
819924195358416896,14305,5607
819588359383371776,10606,2271
819238181065359361,2550,462
819015337530290176,0,42228
819006400881917954,49960,21794
818646164899774465,0,24069
818614493328580609,10971,2982
818536468981415936,12127,2873
818259473185828864,12197,2621
817908911860748288,5356,906
817777686764523521,11901,3084
817502432452313088,0,3917
817415592588222464,6267,1131
817171292965273600,9690,2326
817056546584727552,9517,1927
816816676327063552,11071,2361
816450570814898180,33961,9366
816091915477250048,9927,2500
816014286006976512,0,6154
815966073409433600,25057,9907
815736392542261248,10937,2625
815390420867969024,11467,4407
814638523311648768,12511,3130
814530161257443328,9629,2156
813944609378369540,0,3732
813812741911748608,40402,16267
813217897535406080,20783,8476
813187593374461952,22085,5096
813157409116065792,8588,2557
813130366689148928,4968,513
813112105746448384,11515,3225
813081950185472002,10989,3220
813051746834595840,23337,8503
812747805718642688,0,8067
812503143955202048,6787,1424
812372279581671427,15224,4252
811744202451197953,8429,1884
811627233043480576,14265,3650
810984652412424192,5927,1655
810657578271330305,12192,3057
810254108431155201,16380,3901
809808892968534016,0,5711
809220051211603969,22246,6554
808838249661788160,11271,3536
808501579447930884,12595,3007
808134635716833280,0,6961
808001312164028416,14015,4098
807106840509214720,107015,56625
807010152071229440,14514,4418
806620845233815552,0,6426
806542213899489280,11363,2752
806219024703037440,7145,1388
805932879469572096,9178,2209
805823200554876929,0,9374
805487436403003392,9773,2929
804738756058218496,15326,4480
804413760345620481,0,3712
803773340896923648,11203,3220
803638050916102144,12270,4828
803321560782307329,0,6221
802952499103731712,10085,2336
802600418706604034,7938,1714
802323869084381190,18124,6808
802247111496568832,0,5247
802185808107208704,0,314
801854953262350336,1958,275
801285448605831168,6802,960
801127390143516673,0,4627
800859414831898624,778,113
800751577355128832,11701,3214
800459316964663297,10538,2489
800388270626521089,12456,3265
800141422401830912,17092,2980
799774291445383169,0,5488
799422933579902976,8965,2213
799297110730567681,11065,3227
798933969379225600,14712,5203
798705661114773508,0,7724
798697898615730177,0,7602
798686750113755136,0,2702
798673117451325440,0,6485
798644042770751489,0,2153
798585098161549313,0,6618
798340744599797760,0,3924
797971864723324932,13018,3652
797236660651966464,22328,7726
796904159865868288,0,10411
796759840936919040,13256,3562
796484825502875648,8472,2042
796177847564038144,0,16628
796125600683540480,5511,2079
796080075804475393,9469,2703
795464331001561088,55683,27728
795076730285391872,18139,6288
794926597468000259,11492,2697
794332329137291264,10686,3088
793962221541933056,18910,5711
793614319594401792,0,3661
793500921481273345,11953,2786
793271401113350145,9677,2763
793241302385262592,11780,3812
793210959003287553,9997,3301
793180763617361921,7740,2310
793150605191548928,6909,1984
793120401413079041,14202,4551
792883833364439040,12666,4964
792394556390137856,15128,4998
791821351946420224,0,24514
791780927877898241,0,4432
791672322847637504,13129,3661
791312159183634433,9841,2963
790987426131050500,11089,2483
790723298204217344,0,2704
790581949425475584,22473,8183
790277117346975746,14081,3732
789986466051088384,10369,2704
789903600034189313,11673,4858
789599242079838210,7620,2279
789314372632018944,9615,2666
789268448748703744,10196,3014
788908386943430656,30653,14409
788552643979468800,0,8407
788178268662984705,8100,2488
